"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
218,1,1,36316.196855889,0.0824715888165487,2995.05445447971
219,1,1,39934.654750715,0.0886937739881026,3541.95524275283
220,1,1,38312.8233821708,0.0676376773130243,2591.39038487416
221,1,1,38499.1066383925,0.07654615560649,2946.95860745324
222,1,1,41228.2852489934,0.0786440537077528,3242.35947940039
223,1,1,48220.3401952553,0.0713149525591653,3438.83127341145
224,1,1,47297.5574367939,0.0709387561096875,3355.22989159265
225,1,1,43432.7104105291,0.0861590683949006,3742.12186683669
226,1,1,46344.8664319251,0.0921899719769006,4272.53193763237
227,1,1,46155.1940897366,0.0700617393750946,3233.71317912204
228,1,1,37692.1900147205,0.0716780902584183,2701.70419791259
229,1,1,37676.817411333,0.070444513948744,2654.12508967693
230,1,1,37642.1994448643,0.104860085518459,3947.16425289136
231,1,1,37353.4396304729,0.103231481090643,3856.05089688364
232,1,1,35887.1625771435,0.0804351367788869,2886.58883049869
233,1,1,32887.4208335338,0.0984651774528172,3238.26572833938
234,1,1,38041.3379963753,0.10760329798433,4093.3734281466
235,1,1,36095.5709599549,0.100273330939004,3619.42313229986
236,1,1,36086.5770353433,0.0988328726048793,3566.54007088025
237,1,1,38890.1500416278,0.131055852445046,5096.78176542126
238,1,1,40386.5839169017,0.144015816915996,5816.30687523903
239,1,1,43133.4648844996,0.150606090497743,6496.16251587617
240,1,1,34832.0475758227,0.142467347275159,4962.42941828957
241,1,1,34274.9868820856,0.121330053977179,4158.58600847053
242,1,1,39407.9181189287,0.111647362419254,4399.79011641231
243,1,1,41412.3708824381,0.0990211560245748,4100.70083849746
244,1,1,36740.9579172341,0.095358590269136,3503.5659521251
245,1,1,39054.3586115706,0.0960028338647666,3749.32910148163
246,1,1,42937.2704404329,0.108995637886022,4679.97518073962
247,1,1,45384.1831590773,0.141237453686857,6409.94646704603
248,1,1,41488.4789851124,0.110275300195892,4575.15447475424
249,1,1,46557.4898750828,0.112351801954868,5230.81788196108
250,1,1,48160.1050199704,0.12617472732305,6076.58811874424
251,1,1,47486.5650246964,0.125290380756638,5949.60981276906
252,1,1,51923.616665483,0.117653800501816,6109.01083649352
253,1,1,46558.9661577283,0.114507633599878,5331.35703757828
254,1,1,58706.09156898,0.124929355752058,7334.11419843397
255,1,1,52600.1059549785,0.130982831844894,6889.71083332455
256,1,1,51259.4188434424,0.109477015126219,5611.72817208475
