"Data.Year","X1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
83,1,17,0,0,2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
84,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0,0,0,0,0,0.2,0.4,0,0.2,0,0,0,0,0,0,0,0,0
85,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0.4,1.6,0,0,0.8,0,0.4,0.4,0.4,1.2,0.8,0.4,0.4,0,0.4,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0
87,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
88,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.4,0.4,0.2,0.2,0.2,0.25,0.25,0.533333333333333,0,0,0.25,0,0,0.45,0.2,0,0,0.333333333333333,0,0,0,0,0,0
89,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.4,0.8,0.4,0,0.4,0,0.4,0.4,0,0,0,0,0,0,0.4,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0
91,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
92,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0.4,0,0.2,0,0,0.4,0.2,0.2,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0
93,1,17,0,0,5,0,0,0,0,0,0,0,0.4,0.2,0.6,0,0,0.4,0,0,0.2,0,0,0,0.2,0.2,0.2,0.4,0,0.2,0.4,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0
94,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0.25,0,0,0,0.2,0.45,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,17,0,0,2,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0.2,0.2,0,0.2,0,0.2,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,17,0,0,6,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0.4,0.2,0.4,0.5,0.5,0,0.2,0.2,0.2,0.4,0,0.2,0.2,0.2,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0
97,1,17,0,0,8,0,0,0,0,0,0,0,0,0.2,0.4,0.2,0,0.2,0.6,0.6,0.2,0.2,0.2,0,0.2,0.6,0.4,0.8,0.2,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0
98,1,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0.2,0.2,0.2,0.6,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
99,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,17,0,0,4,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,0.2,0.4,0.6,0.4,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
102,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0.4,0.2,0,0.2,0.2,0.2,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
104,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.2,0.4,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0
105,1,17,0,0,5,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0,0,0,0,0.6,0.2,0.2,0.2,0.6,1.2,0.2,0,0.8,0,0.2,0,0,0,0,0,0,0,0,0,0
106,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.4,0,0,0,0.4,0.25,0,0,0,0.2,0.45,0.45,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0
107,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
108,1,17,0,0,2,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0.6,0,0.2,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
